id,time,distance,velocity,acceleration,Frictional Force,airResistance,,,,time,time,time,time,time,time,distance(.100 kg),distance(.105 kg),distance(.110 kg),distance(.115 kg),distance(.120 kg),distance(.125 kg)
carFAR100,0,0,0,4.905,0.424785461,0,,,,0,0,0,0,0,0,0,0,0,0,0,0
carFAR100,0.001,2.24E-06,0.004480215,4.480214539,0.424785461,0.001284519,,,,0.001,0.001,0.001,0.001,0.001,0.001,2.24E-06,2.24E-06,2.24E-06,2.24E-06,2.24E-06,2.24E-06
carFAR100,0.002,8.96E-06,0.008959145,4.47893002,0.424785461,0.00256867,,,,0.002,0.002,0.002,0.002,0.002,0.002,8.96E-06,8.96E-06,8.96E-06,8.96E-06,8.96E-06,8.96E-06
carFAR100,0.003,2.02E-05,0.01343679,4.477645869,0.424785461,0.003852453,,,,0.003,0.003,0.003,0.003,0.003,0.003,2.02E-05,2.02E-05,2.02E-05,2.02E-05,2.02E-05,2.02E-05
carFAR100,0.004,3.58E-05,0.017913153,4.476362086,0.424785461,0.005135868,,,,0.004,0.004,0.004,0.004,0.004,0.004,3.58E-05,3.58E-05,3.58E-05,3.58E-05,3.58E-05,3.58E-05
carFAR100,0.005,5.60E-05,0.022388231,4.475078671,0.424785461,0.006418915,,,,0.005,0.005,0.005,0.005,0.005,0.005,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05
carFAR100,0.006,8.06E-05,0.026862027,4.473795625,0.424785461,0.007701594,,,,0.006,0.006,0.006,0.006,0.006,0.006,8.06E-05,8.06E-05,8.06E-05,8.06E-05,8.06E-05,8.06E-05
carFAR100,0.007,1.10E-04,0.03133454,4.472512946,0.424785461,0.008983905,,,,0.007,0.007,0.007,0.007,0.007,0.007,1.10E-04,1.10E-04,1.10E-04,1.10E-04,1.10E-04,1.10E-04
carFAR100,0.008,1.43E-04,0.03580577,4.471230634,0.424785461,0.010265849,,,,0.008,0.008,0.008,0.008,0.008,0.008,1.43E-04,1.43E-04,1.43E-04,1.43E-04,1.43E-04,1.43E-04
carFAR100,0.009,1.81E-04,0.040275719,4.469948691,0.424785461,0.011547425,,,,0.009,0.009,0.009,0.009,0.009,0.009,1.81E-04,1.81E-04,1.81E-04,1.81E-04,1.81E-04,1.81E-04
carFAR100,0.01,2.24E-04,0.044744386,4.468667115,0.424785461,0.012828633,,,,0.01,0.01,0.01,0.01,0.01,0.01,2.24E-04,2.24E-04,2.24E-04,2.24E-04,2.24E-04,2.24E-04
carFAR100,0.011,2.71E-04,0.049211772,4.467385906,0.424785461,0.014109474,,,,0.011,0.011,0.011,0.011,0.011,0.011,2.71E-04,2.71E-04,2.71E-04,2.71E-04,2.71E-04,2.71E-04
carFAR100,0.012,3.22E-04,0.053677877,4.466105065,0.424785461,0.015389948,,,,0.012,0.012,0.012,0.012,0.012,0.012,3.22E-04,3.22E-04,3.22E-04,3.22E-04,3.22E-04,3.22E-04
carFAR100,0.013,3.78E-04,0.058142702,4.464824591,0.424785461,0.016670055,,,,0.013,0.013,0.013,0.013,0.013,0.013,3.78E-04,3.78E-04,3.78E-04,3.78E-04,3.78E-04,3.78E-04
carFAR100,0.014,4.39E-04,0.062606246,4.463544484,0.424785461,0.017949795,,,,0.014,0.014,0.014,0.014,0.014,0.014,4.39E-04,4.39E-04,4.39E-04,4.39E-04,4.39E-04,4.39E-04
carFAR100,0.015,5.03E-04,0.067068511,4.462264744,0.424785461,0.019229168,,,,0.015,0.015,0.015,0.015,0.015,0.015,5.03E-04,5.03E-04,5.03E-04,5.03E-04,5.03E-04,5.04E-04
carFAR100,0.016,5.73E-04,0.071529496,4.460985371,0.424785461,0.020508174,,,,0.016,0.016,0.016,0.016,0.016,0.016,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04
carFAR100,0.017,6.46E-04,0.075989203,4.459706365,0.424785461,0.021786814,,,,0.017,0.017,0.017,0.017,0.017,0.017,6.46E-04,6.46E-04,6.47E-04,6.47E-04,6.47E-04,6.47E-04
carFAR100,0.018,7.25E-04,0.08044763,4.458427726,0.424785461,0.023065087,,,,0.018,0.018,0.018,0.018,0.018,0.018,7.25E-04,7.25E-04,7.25E-04,7.25E-04,7.25E-04,7.25E-04
carFAR100,0.019,8.07E-04,0.08490478,4.457149453,0.424785461,0.024342993,,,,0.019,0.019,0.019,0.019,0.019,0.019,8.07E-04,8.07E-04,8.07E-04,8.08E-04,8.08E-04,8.08E-04
carFAR100,0.02,8.94E-04,0.089360651,4.455871546,0.424785461,0.025620533,,,,0.02,0.02,0.02,0.02,0.02,0.02,8.94E-04,8.95E-04,8.95E-04,8.95E-04,8.95E-04,8.95E-04
