id,time,distance,velocity,acceleration,Frictional Force,airResistance,,,,time,time,time,time,time,time,distance(0.05 Frictional Coefficient),distance(0.045 Frictional Coefficient),distance(0.04 Frictional Coefficient,distance(0.035 Fricitional Coefficient),distance(0.030 Frictional Coefficient),distance(0.025 Frictional Coefficient)
carFAR_05,0,0,0,4.905,0.424785461,0,,,,0,0,0,0,0,0,0,0,0,0,0,0
carFAR_05,0.001,2.24E-06,0.004480215,4.480214539,0.424785461,0.001284519,,,,0.001,0.001,0.001,0.001,0.001,0.001,2.24E-06,2.26E-06,2.28E-06,2.30E-06,2.33E-06,2.35E-06
carFAR_05,0.002,8.96E-06,0.008959145,4.47893002,0.424785461,0.00256867,,,,0.002,0.002,0.002,0.002,0.002,0.002,8.96E-06,9.04E-06,9.13E-06,9.21E-06,9.30E-06,9.38E-06
carFAR_05,0.003,2.02E-05,0.01343679,4.477645869,0.424785461,0.003852453,,,,0.003,0.003,0.003,0.003,0.003,0.003,2.02E-05,2.03E-05,2.05E-05,2.07E-05,2.09E-05,2.11E-05
carFAR_05,0.004,3.58E-05,0.017913153,4.476362086,0.424785461,0.005135868,,,,0.004,0.004,0.004,0.004,0.004,0.004,3.58E-05,3.62E-05,3.65E-05,3.69E-05,3.72E-05,3.75E-05
carFAR_05,0.005,5.60E-05,0.022388231,4.475078671,0.424785461,0.006418915,,,,0.005,0.005,0.005,0.005,0.005,0.005,5.60E-05,5.65E-05,5.70E-05,5.76E-05,5.81E-05,5.86E-05
carFAR_05,0.006,8.06E-05,0.026862027,4.473795625,0.424785461,0.007701594,,,,0.006,0.006,0.006,0.006,0.006,0.006,8.06E-05,8.14E-05,8.21E-05,8.29E-05,8.37E-05,8.44E-05
carFAR_05,0.007,1.10E-04,0.03133454,4.472512946,0.424785461,0.008983905,,,,0.007,0.007,0.007,0.007,0.007,0.007,1.10E-04,1.11E-04,1.12E-04,1.13E-04,1.14E-04,1.15E-04
carFAR_05,0.008,1.43E-04,0.03580577,4.471230634,0.424785461,0.010265849,,,,0.008,0.008,0.008,0.008,0.008,0.008,1.43E-04,1.45E-04,1.46E-04,1.47E-04,1.49E-04,1.50E-04
carFAR_05,0.009,1.81E-04,0.040275719,4.469948691,0.424785461,0.011547425,,,,0.009,0.009,0.009,0.009,0.009,0.009,1.81E-04,1.83E-04,1.85E-04,1.86E-04,1.88E-04,1.90E-04
carFAR_05,0.01,2.24E-04,0.044744386,4.468667115,0.424785461,0.012828633,,,,0.01,0.01,0.01,0.01,0.01,0.01,2.24E-04,2.26E-04,2.28E-04,2.30E-04,2.32E-04,2.34E-04
carFAR_05,0.011,2.71E-04,0.049211772,4.467385906,0.424785461,0.014109474,,,,0.011,0.011,0.011,0.011,0.011,0.011,2.71E-04,2.73E-04,2.76E-04,2.79E-04,2.81E-04,2.84E-04
carFAR_05,0.012,3.22E-04,0.053677877,4.466105065,0.424785461,0.015389948,,,,0.012,0.012,0.012,0.012,0.012,0.012,3.22E-04,3.25E-04,3.28E-04,3.31E-04,3.34E-04,3.38E-04
